City_ID,City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
287,port hardy,50.6996,-127.4199,53.78,fog,0.0,0,94,40,0.0,CA
288,seydisehir,37.4193,31.8453,91.49,clear sky,0.0,0,16,0,5.57,TR
289,juneau,58.3019,-134.4197,60.84,light rain,0.0,0,98,100,6.91,US
290,kilosa,-6.8333,36.9833,79.07,overcast clouds,0.0,0,46,85,8.21,TZ
291,svetlogorsk,52.6333,29.7333,71.49,overcast clouds,0.0,0,53,87,4.9,BY
292,te anau,-45.4167,167.7167,41.11,overcast clouds,0.0,0,98,100,1.32,NZ
293,udachnyy,66.4167,112.4,78.58,scattered clouds,0.0,0,56,30,6.06,RU
294,ixhuatan,16.3569,-94.4825,77.92,overcast clouds,0.0,0,84,100,2.68,MX
295,marawi,7.9986,124.2928,70.23,overcast clouds,0.0,0,92,100,4.5,PH
296,taltal,-25.4,-70.4833,63.37,broken clouds,0.0,0,65,65,5.97,CL
297,kruisfontein,-34.0033,24.7314,73.89,clear sky,0.0,0,46,0,5.26,ZA
298,guerrero negro,27.9769,-114.0611,67.73,few clouds,0.0,0,85,23,6.73,MX
299,port lincoln,-34.7333,135.8667,53.87,overcast clouds,0.0,0,81,99,14.32,AU
300,kempele,64.9131,25.5034,62.62,clear sky,0.0,0,55,0,12.66,FI
301,cochrane,51.1834,-114.4687,64.67,broken clouds,0.0,0,90,55,3.06,CA
302,dudinka,69.4058,86.1778,61.63,clear sky,0.0,0,56,0,7.83,RU
303,griffith,41.5284,-87.4237,70.9,overcast clouds,0.0,0,84,100,4.61,US
304,nelson bay,-32.7167,152.15,54.0,overcast clouds,0.0,0,82,100,7.0,AU
305,bandarbeyla,9.4942,50.8122,79.66,clear sky,0.0,0,68,2,29.57,SO
306,bac lieu,9.285,105.7244,82.54,few clouds,0.0,0,80,11,6.76,VN
